Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Adrian Caldwell,1990,1998,F-C,6-8,265.0,"July 4, 1966","SMU, Lamar",False,False,https://www.basketball-reference.com/players/c/caldwad01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caldwad01.html
Jim Caldwell,1968,1969,C,6-10,240.0,"January 28, 1943",Georgia Tech,False,False,https://www.basketball-reference.com/players/c/caldwji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caldwji01.html
Joe Caldwell,1965,1975,F-G,6-5,195.0,"November 1, 1941",Arizona State,False,False,https://www.basketball-reference.com/players/c/caldwjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caldwjo01.html
Kentavious Caldwell-Pope,2014,2024,G,6-5,204.0,"February 18, 1993",Georgia,False,True,https://www.basketball-reference.com/players/c/caldwke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caldwke01.html
Bill Calhoun,1949,1955,F-G,6-3,180.0,"November 4, 1927",City College of San Francisco,False,False,https://www.basketball-reference.com/players/c/calhobi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calhobi01.html
Corky Calhoun,1973,1980,F,6-7,210.0,"November 1, 1950",Penn,False,False,https://www.basketball-reference.com/players/c/calhoco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calhoco01.html
Demetrius Calip,1992,1992,G,6-1,165.0,"November 18, 1969",Michigan,False,False,https://www.basketball-reference.com/players/c/calipde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calipde01.html
Tom Callahan,1947,1947,G,6-1,180.0,"June 2, 1921",Rockhurst University,False,False,https://www.basketball-reference.com/players/c/callato01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{callato01.html
Rick Calloway,1991,1991,F,6-6,180.0,"December 12, 1966","Indiana, Kansas",False,False,https://www.basketball-reference.com/players/c/callori01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{callori01.html
Ernie Calverley,1947,1949,G,5-10,145.0,"January 30, 1924",Rhode Island,False,False,https://www.basketball-reference.com/players/c/calveer01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calveer01.html
Mack Calvin,1970,1981,G,6-0,165.0,"July 27, 1947","Long Beach City College, USC",False,False,https://www.basketball-reference.com/players/c/calvima01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calvima01.html
Toumani Camara,2024,2024,F,6-8,220.0,"May 8, 2000",Dayton,False,True,https://www.basketball-reference.com/players/c/camarto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{camarto01.html
Dexter Cambridge,1993,1993,F,6-7,224.0,"January 29, 1970",Texas,False,False,https://www.basketball-reference.com/players/c/cambrde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cambrde01.html
Marcus Camby,1997,2013,C-F,6-11,220.0,"March 22, 1974",UMass,False,False,https://www.basketball-reference.com/players/c/cambyma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cambyma01.html
Facundo Campazzo,2021,2023,G,5-10,195.0,"March 23, 1991",,False,True,https://www.basketball-reference.com/players/c/campafa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{campafa01.html
Elden Campbell,1991,2005,C,6-11,215.0,"July 23, 1968",Clemson,False,False,https://www.basketball-reference.com/players/c/campbel01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{campbel01.html
Tony Campbell,1985,1995,F-G,6-7,215.0,"May 7, 1962",Ohio State,False,False,https://www.basketball-reference.com/players/c/campbto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{campbto01.html
Isaiah Canaan,2014,2019,G,6-0,201.0,"May 21, 1991",Murray State,False,False,https://www.basketball-reference.com/players/c/canaais01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{canaais01.html
Vlatko Čančar,2020,2023,F,6-8,236.0,"April 10, 1997",,False,True,https://www.basketball-reference.com/players/c/cancavl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cancavl01.html
Devin Cannady,2021,2022,G,6-2,183.0,"May 21, 1996",Princeton,False,True,https://www.basketball-reference.com/players/c/cannade01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cannade01.html
Larry Cannon,1970,1974,G,6-4,195.0,"April 12, 1947",La Salle,False,False,https://www.basketball-reference.com/players/c/cannola01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cannola01.html
Clint Capela,2015,2024,C,6-10,240.0,"May 18, 1994",,False,True,https://www.basketball-reference.com/players/c/capelca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{capelca01.html
Derrick Caracter,2011,2011,F,6-9,275.0,"May 4, 1988","Louisville, Texas-El Paso",False,False,https://www.basketball-reference.com/players/c/caracde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caracde01.html
Frank Card,1969,1973,F,6-7,195.0,"December 28, 1944",South Carolina State,False,False,https://www.basketball-reference.com/players/c/cardfr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cardfr01.html
Brian Cardinal,2001,2012,F,6-8,245.0,"May 2, 1977",Purdue,False,False,https://www.basketball-reference.com/players/c/cardibr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cardibr01.html
Vernon Carey Jr.,2021,2023,C,6-9,270.0,"February 25, 2001",Duke,False,True,https://www.basketball-reference.com/players/c/careyve01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{careyve01.html
Howie Carl,1962,1962,G,5-9,160.0,"June 7, 1938",DePaul,False,False,https://www.basketball-reference.com/players/c/carlho01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carlho01.html
Chet Carlisle,1947,1947,F-C,6-5,195.0,"November 2, 1916",California,False,False,https://www.basketball-reference.com/players/c/carlich01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carlich01.html
Geno Carlisle,2005,2005,G,6-3,180.0,"August 13, 1976","Northwestern, California",False,False,https://www.basketball-reference.com/players/c/carlige01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carlige01.html
Rick Carlisle,1985,1990,G,6-5,210.0,"October 27, 1959","University of Maine, Virginia",False,False,https://www.basketball-reference.com/players/c/carliri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carliri01.html
Don Carlos,1969,1969,G-F,6-5,210.0,"March 3, 1944",Otterbein College,False,False,https://www.basketball-reference.com/players/c/carlodo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carlodo01.html
Al Carlson,1976,1976,C,6-11,235.0,"September 17, 1951",Oregon,False,False,https://www.basketball-reference.com/players/c/carlsal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carlsal01.html
Don Carlson,1947,1951,G-F,6-0,170.0,"March 22, 1919",Minnesota,False,False,https://www.basketball-reference.com/players/c/carlsdo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carlsdo01.html
Bob Carney,1955,1955,G,6-3,170.0,"August 3, 1932",Bradley,False,False,https://www.basketball-reference.com/players/c/carnebo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carnebo01.html
Rodney Carney,2007,2011,F,6-7,205.0,"April 15, 1984",Memphis,False,False,https://www.basketball-reference.com/players/c/carnero01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carnero01.html
Bob Carpenter,1950,1951,F-C,6-5,200.0,"November 6, 1917",Texas A&M University-Commerce,False,False,https://www.basketball-reference.com/players/c/carpebo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carpebo01.html
Antoine Carr,1985,2000,F-C,6-9,225.0,"July 23, 1961",Wichita State,False,False,https://www.basketball-reference.com/players/c/carran01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carran01.html
Austin Carr,1972,1981,G,6-4,200.0,"March 10, 1948",Notre Dame,False,False,https://www.basketball-reference.com/players/c/carrau01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrau01.html
Chris Carr,1996,2001,G,6-5,207.0,"March 12, 1974",Southern Illinois,False,False,https://www.basketball-reference.com/players/c/carrch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrch01.html
Cory Carr,1999,1999,G,6-3,210.0,"December 5, 1975",Texas Tech,False,False,https://www.basketball-reference.com/players/c/carrco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrco01.html
Kenny Carr,1978,1987,F,6-7,220.0,"August 15, 1955",NC State,False,False,https://www.basketball-reference.com/players/c/carrke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrke01.html
M.L. Carr,1976,1985,F-G,6-6,205.0,"January 9, 1951",Guilford College,False,False,https://www.basketball-reference.com/players/c/carrml01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrml01.html
Darel Carrier,1968,1973,G,6-3,185.0,"October 26, 1940",Western Kentucky,False,False,https://www.basketball-reference.com/players/c/carrida01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrida01.html
Bob Carrington,1978,1980,G-F,6-6,195.0,"July 3, 1953",Boston College,False,False,https://www.basketball-reference.com/players/c/carribo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carribo01.html
DeMarre Carroll,2010,2020,F,6-6,215.0,"July 27, 1986","Vanderbilt, Missouri",False,False,https://www.basketball-reference.com/players/c/carrode01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrode01.html
Joe Barry Carroll,1981,1991,C-F,7-0,225.0,"July 24, 1958",Purdue,False,False,https://www.basketball-reference.com/players/c/carrojo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carrojo01.html
Matt Carroll,2004,2013,G,6-6,212.0,"August 28, 1980",Notre Dame,False,False,https://www.basketball-reference.com/players/c/carroma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carroma01.html
Jimmy Carruth,1997,1997,C-F,6-10,265.0,"November 4, 1969",Virginia Tech,False,False,https://www.basketball-reference.com/players/c/carruji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carruji01.html
Anthony Carter,2000,2012,G,6-1,190.0,"June 16, 1975",Hawaii,False,False,https://www.basketball-reference.com/players/c/cartean01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartean01.html
Butch Carter,1981,1986,G,6-5,180.0,"June 11, 1958",Indiana,False,False,https://www.basketball-reference.com/players/c/cartebu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartebu01.html
Fred Carter,1970,1977,G-F,6-3,185.0,"February 14, 1945",Mount St. Mary's University,False,False,https://www.basketball-reference.com/players/c/cartefr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartefr01.html
George Carter,1968,1976,F-G,6-4,210.0,"January 10, 1944",St. Bonaventure,False,False,https://www.basketball-reference.com/players/c/cartege01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartege01.html
Howard Carter,1984,1985,G,6-5,215.0,"October 26, 1961",LSU,False,False,https://www.basketball-reference.com/players/c/carteho01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carteho01.html
Jake Carter,1950,1950,F-C,6-4,195.0,"July 25, 1924",Texas A&M University-Commerce,False,False,https://www.basketball-reference.com/players/c/carteja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carteja01.html
Jevon Carter,2019,2024,G,6-1,200.0,"September 14, 1995",West Virginia,False,True,https://www.basketball-reference.com/players/c/carteje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carteje01.html
Maurice Carter,2004,2004,G,6-5,210.0,"October 12, 1976",LSU,False,False,https://www.basketball-reference.com/players/c/cartema01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartema01.html
Reggie Carter,1981,1982,G,6-3,175.0,"October 10, 1957","Hawaii, St. John's",False,False,https://www.basketball-reference.com/players/c/cartere01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartere01.html
Ron Carter,1979,1980,G,6-5,190.0,"August 31, 1956",Virginia Military Institute,False,False,https://www.basketball-reference.com/players/c/cartero01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartero01.html
Vince Carter,1999,2020,G-F,6-6,220.0,"January 26, 1977",UNC,False,False,https://www.basketball-reference.com/players/c/cartevi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartevi01.html
Wendell Carter Jr.,2019,2024,C,6-10,270.0,"April 16, 1999",Duke,False,True,https://www.basketball-reference.com/players/c/cartewe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartewe01.html
Michael Carter-Williams,2014,2023,G,6-5,190.0,"October 10, 1991",Syracuse,False,True,https://www.basketball-reference.com/players/c/cartemi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartemi01.html
D.J. Carton,2024,2024,G,6-2,200.0,"August 5, 2000","Ohio State, Marquette",False,True,https://www.basketball-reference.com/players/c/cartodj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartodj01.html
Bill Cartwright,1980,1995,C,7-1,245.0,"July 30, 1957",San Francisco,False,False,https://www.basketball-reference.com/players/c/cartwbi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartwbi01.html
Jay Carty,1969,1969,F,6-8,220.0,"July 4, 1941",Oregon State,False,False,https://www.basketball-reference.com/players/c/cartyja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cartyja01.html
Alex Caruso,2018,2024,G,6-5,186.0,"February 28, 1994",Texas A&M,False,True,https://www.basketball-reference.com/players/c/carusal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{carusal01.html
Cornelius Cash,1977,1977,F,6-8,215.0,"March 3, 1952",Bowling Green,False,False,https://www.basketball-reference.com/players/c/cashco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cashco01.html
Sam Cash,1973,1973,F,6-8,230.0,"November 13, 1950","San Bernardino Valley College, University of California, Riverside",False,False,https://www.basketball-reference.com/players/c/cashsa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cashsa01.html
Sam Cassell,1994,2008,G,6-3,185.0,"November 18, 1969",Florida State,False,False,https://www.basketball-reference.com/players/c/cassesa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cassesa01.html
Omri Casspi,2010,2019,F,6-9,225.0,"June 22, 1988",,False,False,https://www.basketball-reference.com/players/c/casspom01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{casspom01.html
Colin Castleton,2024,2024,F,6-11,250.0,"May 25, 2000","Michigan, Florida",False,True,https://www.basketball-reference.com/players/c/castlco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{castlco01.html
